PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
152.0,1.0,152.0,-49.0,1.0,10.0,1.010.0,4.0,Run,KINGS OPEN,QB DRAW,JET SWEEP,JET SWEEP,QB DRAW,3rd Down Conversion,0,Run for 1st Down
171.0,1.0,171.0,-24.0,1.0,10.0,1.010.0,4.0,4.0,VICTORY,KNEEL,QB DRAW,QB DRAW,KNEEL,0,0,Run for 1st Down
175.0,1.0,175.0,-29.0,1.0,10.0,1.010.0,4.0,Run,PRO HARDER,JET VEER,KNEEL,KNEEL,JET VEER,0,0,Run for 1st Down
177.0,2.0,177.0,-29.0,2.0,10.0,2.010.0,4.0,Pass,TWINS OPEN SOFTER,PA 5 ST,JET VEER,JET VEER,PA 5 ST,0,0,Run < 5 yds
179.0,3.0,179.0,-29.0,3.0,10.0,3.010.0,4.0,Pass,SPREAD,5 ST,PA 5 ST,PA 5 ST,5 ST,0,0,Run < 5 yds
195.0,1.0,195.0,-30.0,1.0,10.0,1.010.0,4.0,Run,SPREAD BONE,IZ,5 ST,5 ST,IZ,3rd Down Conversion,0,Run for 1st Down
197.0,2.0,197.0,-29.0,2.0,11.0,2.011.0,4.0,Run,SPREAD BONE,TRIPLE OPTION,IZ,IZ,TRIPLE OPTION,0,0,Run < 5 yds
199.0,3.0,199.0,-39.0,3.0,1.0,3.01.0,4.0,Run,SPREAD BONE,TRIPLE OPTION,TRIPLE OPTION,TRIPLE OPTION,TRIPLE OPTION,0,0,Run < 5 yds
201.0,1.0,201.0,-45.0,1.0,10.0,1.010.0,4.0,Pass,TWINS TITE SOFTER,SACK,TRIPLE OPTION,TRIPLE OPTION,SACK,3rd Down Conversion,0,Run for 1st Down
203.0,2.0,203.0,-43.0,2.0,12.0,2.012.0,4.0,Run,QUEENS TITE,JET SWEEP,SACK,SACK,JET SWEEP,0,0,Run < 5 yds
205.0,1.0,205.0,42.0,1.0,10.0,1.010.0,4.0,Pass,TWINS OPEN HARDER,5 ST,JET SWEEP,JET SWEEP,5 ST,2nd Down Conversion,0,Run for 1st Down
207.0,2.0,207.0,35.0,2.0,3.0,2.03.0,4.0,Run,SPREAD,IZ,5 ST,5 ST,IZ,0,0,Run < 5 yds
